initial,pulse,tau,state,real,imag,probability
"|0,01>",atom_pi_1,0.1069182389937107,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.1069182389937107,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.11320754716981132,"|0,01>",0.9842352874692981,3.2585192579663427e-06,0.9687191011103898
"|0,01>",atom_pi_1,0.11320754716981132,"|r,01>",-5.482373333192589e-05,-0.17678451783720592,0.031252768752575114
"|0,01>",atom_pi_1,0.11320754716981132,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.11320754716981132,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.11949685534591195,"|0,01>",0.9824408827838187,3.830558601283346e-06,0.9651900881797221
"|0,01>",atom_pi_1,0.11949685534591195,"|r,01>",-6.103718749762643e-05,-0.18648060829212978,0.034775020994541
"|0,01>",atom_pi_1,0.11949685534591195,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.11949685534591195,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.12578616352201258,"|0,01>",0.9805507874347882,4.465590706028635e-06,0.9614798467589247
"|0,01>",atom_pi_1,0.12578616352201258,"|r,01>",-6.757604152627438e-05,-0.19615644751890068,0.038477356469756634
"|0,01>",atom_pi_1,0.12578616352201258,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.12578616352201258,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.1320754716981132,"|0,01>",0.9785652066736495,5.1668222240056255e-06,0.9575898637389385
"|0,01>",atom_pi_1,0.1320754716981132,"|r,01>",-7.443865293437453e-05,-0.20581098624056374,0.04235816759842656
"|0,01>",atom_pi_1,0.1320754716981132,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.1320754716981132,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.13836477987421383,"|0,01>",0.9764843561054373,5.937443176198259e-06,0.9535216977539037
"|0,01>",atom_pi_1,0.13836477987421383,"|r,01>",-8.16232974366089e-05,-0.21544317772107824,0.04641576948891878
"|0,01>",atom_pi_1,0.13836477987421383,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.13836477987421383,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.14465408805031446,"|0,01>",0.9743084616630597,6.780626146406666e-06,0.9492769785142147
"|0,01>",atom_pi_1,0.14465408805031446,"|r,01>",-8.912816930786053e-05,-0.2250519778900126,0.050648400696037287
"|0,01>",atom_pi_1,0.14465408805031446,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.14465408805031446,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.15094339622641512,"|0,01>",0.9720377595803494,7.699525478544116e-06,0.9448574061092679
"|0,01>",atom_pi_1,0.15094339622641512,"|r,01>",-9.695138176236444e-05,-0.23463634546689713,0.055054224013631525
"|0,01>",atom_pi_1,0.15094339622641512,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.15094339622641512,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.15723270440251574,"|0,01>",0.9696724963638884,8.697276477763892e-06,0.9402647502802178
"|0,01>",atom_pi_1,0.15723270440251574,"|r,01>",-0.00010509096734990946,-0.24419524208521892,0.05963132730117009
"|0,01>",atom_pi_1,0.15723270440251574,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.15723270440251574,"|1,10>",0.0,0.0,0.0
